start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,start_time_dt,rat_period_start_dt,rat_period_end_dt,sunset_time_dt,seconds_after_rat_arrival_cat
28/12/2017 19:45,15.0,pick_and_others,28/12/2017 19:35,28/12/2017 19:46,564,1,1,0,28/12/2017 16:44,3.021666667,0,2017-12-28 19:45:00,2017-12-28 19:35:00,2017-12-28 19:46:00,2017-12-28 16:44:00,>5min
28/12/2017 19:46,24.0,rat,28/12/2017 19:35,28/12/2017 19:46,607,1,0,0,28/12/2017 16:44,3.033611111,0,2017-12-28 19:46:00,2017-12-28 19:35:00,2017-12-28 19:46:00,2017-12-28 16:44:00,>5min
28/12/2017 3:58,2.0,fast,28/12/2017 3:56,28/12/2017 4:13,107,0,1,0,27/12/2017 16:43,11.26277778,0,2017-12-28 03:58:00,2017-12-28 03:56:00,2017-12-28 04:13:00,2017-12-27 16:43:00,1-5min
28/12/2017 4:02,2.0,fast,28/12/2017 3:56,28/12/2017 4:13,358,0,1,0,27/12/2017 16:43,11.3325,0,2017-12-28 04:02:00,2017-12-28 03:56:00,2017-12-28 04:13:00,2017-12-27 16:43:00,>5min
28/12/2017 4:11,1.0,,28/12/2017 3:56,28/12/2017 4:13,852,0,0,0,27/12/2017 16:43,11.46972222,0,2017-12-28 04:11:00,2017-12-28 03:56:00,2017-12-28 04:13:00,2017-12-27 16:43:00,>5min
27/01/2018 23:44,0.049410419,fast,27/01/2018 23:44,27/01/2018 23:50,12,0,1,1,27/01/2018 17:09,6.591111111,0,2018-01-27 23:44:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,10-60s
27/01/2018 23:44,1.0,fast,27/01/2018 23:44,27/01/2018 23:50,14,0,1,1,27/01/2018 17:09,6.591666667,0,2018-01-27 23:44:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,10-60s
27/01/2018 23:45,6.0,rat,27/01/2018 23:44,27/01/2018 23:50,49,1,0,1,27/01/2018 17:09,6.601388889,0,2018-01-27 23:45:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,10-60s
27/01/2018 23:45,3.0,fast,27/01/2018 23:44,27/01/2018 23:50,68,0,1,1,27/01/2018 17:09,6.606666667,0,2018-01-27 23:45:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,1-5min
27/01/2018 23:45,8.0,rat,27/01/2018 23:44,27/01/2018 23:50,84,1,0,1,27/01/2018 17:09,6.611111111,0,2018-01-27 23:45:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,1-5min
27/01/2018 23:46,31.0,rat,27/01/2018 23:44,27/01/2018 23:50,122,1,0,1,27/01/2018 17:09,6.621666667,0,2018-01-27 23:46:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,1-5min
27/01/2018 23:47,0.010695699,fast,27/01/2018 23:44,27/01/2018 23:50,186,0,1,1,27/01/2018 17:09,6.639444444,0,2018-01-27 23:47:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,1-5min
27/01/2018 23:48,2.0,fast,27/01/2018 23:44,27/01/2018 23:50,231,0,1,1,27/01/2018 17:09,6.651944444,0,2018-01-27 23:48:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,1-5min
27/01/2018 23:48,1.0,gaze,27/01/2018 23:44,27/01/2018 23:50,246,0,0,1,27/01/2018 17:09,6.656111111,0,2018-01-27 23:48:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,1-5min
27/01/2018 23:48,9.0,pick,27/01/2018 23:44,27/01/2018 23:50,253,0,1,1,27/01/2018 17:09,6.658055556,0,2018-01-27 23:48:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,1-5min
27/01/2018 23:50,6.0,pick,27/01/2018 23:44,27/01/2018 23:50,355,0,1,1,27/01/2018 17:09,6.686388889,0,2018-01-27 23:50:00,2018-01-27 23:44:00,2018-01-27 23:50:00,2018-01-27 17:09:00,>5min
28/01/2018 4:20,11.0,pick,28/01/2018 4:08,28/01/2018 4:20,742,0,1,1,27/01/2018 17:09,11.1975,0,2018-01-28 04:20:00,2018-01-28 04:08:00,2018-01-28 04:20:00,2018-01-27 17:09:00,>5min
1/01/2018 1:52,2.0,fast,1/01/2018 1:50,1/01/2018 1:55,115,0,1,1,31/12/2017 16:46,9.108333333,0,2018-01-01 01:52:00,2018-01-01 01:50:00,2018-01-01 01:55:00,2017-12-31 16:46:00,1-5min
31/01/2018 19:44,3.0,rat,31/01/2018 19:41,31/01/2018 19:45,195,1,0,1,31/01/2018 17:13,2.522777778,0,2018-01-31 19:44:00,2018-01-31 19:41:00,2018-01-31 19:45:00,2018-01-31 17:13:00,1-5min
31/01/2018 22:23,1.0,fast,31/01/2018 22:20,31/01/2018 22:24,168,0,1,1,31/01/2018 17:13,5.168333333,0,2018-01-31 22:23:00,2018-01-31 22:20:00,2018-01-31 22:24:00,2018-01-31 17:13:00,1-5min
10/01/2018 23:34,4.0,,10/01/2018 23:32,10/01/2018 23:34,113,0,0,1,10/01/2018 16:54,6.673888889,0,2018-01-10 23:34:00,2018-01-10 23:32:00,2018-01-10 23:34:00,2018-01-10 16:54:00,1-5min
10/01/2018 4:12,1.0,rat,10/01/2018 4:07,10/01/2018 4:15,306,1,0,1,9/01/2018 16:53,11.32222222,0,2018-01-10 04:12:00,2018-01-10 04:07:00,2018-01-10 04:15:00,2018-01-09 16:53:00,>5min
28/01/2018 19:56,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,9,0,1,1,28/01/2018 17:10,2.770833333,0,2018-01-28 19:56:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,0-10s
28/01/2018 20:03,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,456,1,0,1,28/01/2018 17:10,2.895,0,2018-01-28 20:03:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:04,0.035319187,rat,28/01/2018 19:56,28/01/2018 20:10,528,1,0,1,28/01/2018 17:10,2.915,0,2018-01-28 20:04:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:05,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,534,1,0,1,28/01/2018 17:10,2.916666667,0,2018-01-28 20:05:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:05,7.0,pick_rat,28/01/2018 19:56,28/01/2018 20:10,545,1,1,1,28/01/2018 17:10,2.919722222,0,2018-01-28 20:05:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:05,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,551,0,1,1,28/01/2018 17:10,2.921388889,0,2018-01-28 20:05:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:05,0.034803066,fast,28/01/2018 19:56,28/01/2018 20:10,569,0,1,1,28/01/2018 17:10,2.926388889,0,2018-01-28 20:05:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:05,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,583,1,0,1,28/01/2018 17:10,2.930277778,0,2018-01-28 20:05:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:05,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,589,0,1,1,28/01/2018 17:10,2.931944444,0,2018-01-28 20:05:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:06,2.0,fast,28/01/2018 19:56,28/01/2018 20:10,627,0,1,1,28/01/2018 17:10,2.9425,0,2018-01-28 20:06:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:06,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,631,0,1,1,28/01/2018 17:10,2.943611111,0,2018-01-28 20:06:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:06,4.0,fast,28/01/2018 19:56,28/01/2018 20:10,642,0,1,1,28/01/2018 17:10,2.946666667,0,2018-01-28 20:06:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:08,4.0,pick,28/01/2018 19:56,28/01/2018 20:10,720,0,1,1,28/01/2018 17:10,2.968333333,0,2018-01-28 20:08:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
28/01/2018 20:09,3.0,rat,28/01/2018 19:56,28/01/2018 20:10,824,1,0,1,28/01/2018 17:10,2.997222222,0,2018-01-28 20:09:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,>5min
29/01/2018 1:32,22.0,pick,29/01/2018 1:29,29/01/2018 1:33,225,0,1,1,28/01/2018 17:10,8.381666667,0,2018-01-29 01:32:00,2018-01-29 01:29:00,2018-01-29 01:33:00,2018-01-28 17:10:00,1-5min
28/01/2018 19:58,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,162,1,0,1,28/01/2018 17:10,2.813333333,0,2018-01-28 19:58:00,2018-01-28 19:56:00,2018-01-28 20:10:00,2018-01-28 17:10:00,1-5min
20/02/2018 1:49,2.0,rat,20/02/2018 1:47,20/02/2018 1:50,151,1,0,2,19/02/2018 17:30,8.333055556,0,2018-02-20 01:49:00,2018-02-20 01:47:00,2018-02-20 01:50:00,2018-02-19 17:30:00,1-5min
20/02/2018 3:10,1.0,rat,20/02/2018 3:10,20/02/2018 3:11,17,1,0,2,19/02/2018 17:30,9.676111111,0,2018-02-20 03:10:00,2018-02-20 03:10:00,2018-02-20 03:11:00,2018-02-19 17:30:00,10-60s
20/02/2018 2:12,3.0,bat,20/02/2018 2:10,20/02/2018 2:13,116,1,0,2,19/02/2018 17:30,8.713055556,0,2018-02-20 02:12:00,2018-02-20 02:10:00,2018-02-20 02:13:00,2018-02-19 17:30:00,1-5min
10/02/2018 0:43,4.0,rat,10/02/2018 0:43,10/02/2018 0:45,22,1,0,2,9/02/2018 17:21,7.375277778,0,2018-02-10 00:43:00,2018-02-10 00:43:00,2018-02-10 00:45:00,2018-02-09 17:21:00,10-60s
10/02/2018 0:44,3.0,fast,10/02/2018 0:43,10/02/2018 0:45,96,0,1,2,9/02/2018 17:21,7.395833333,0,2018-02-10 00:44:00,2018-02-10 00:43:00,2018-02-10 00:45:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:49,0.089216347,fast,10/02/2018 0:49,10/02/2018 0:51,18,0,1,2,9/02/2018 17:21,7.471944444,0,2018-02-10 00:49:00,2018-02-10 00:49:00,2018-02-10 00:51:00,2018-02-09 17:21:00,10-60s
10/02/2018 0:49,2.0,rat,10/02/2018 0:49,10/02/2018 0:51,56,1,0,2,9/02/2018 17:21,7.4825,0,2018-02-10 00:49:00,2018-02-10 00:49:00,2018-02-10 00:51:00,2018-02-09 17:21:00,10-60s
10/02/2018 0:50,0.041390374,fast,10/02/2018 0:49,10/02/2018 0:51,65,0,1,2,9/02/2018 17:21,7.485,0,2018-02-10 00:50:00,2018-02-10 00:49:00,2018-02-10 00:51:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:50,0.090143902,rat,10/02/2018 0:49,10/02/2018 0:51,81,1,0,2,9/02/2018 17:21,7.489444444,0,2018-02-10 00:50:00,2018-02-10 00:49:00,2018-02-10 00:51:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:50,20.0,both,10/02/2018 0:49,10/02/2018 0:51,102,0,0,2,9/02/2018 17:21,7.495277778,0,2018-02-10 00:50:00,2018-02-10 00:49:00,2018-02-10 00:51:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:51,2.0,rat,10/02/2018 0:49,10/02/2018 0:51,149,1,0,2,9/02/2018 17:21,7.508333333,0,2018-02-10 00:51:00,2018-02-10 00:49:00,2018-02-10 00:51:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:44,7.0,bat,10/02/2018 0:43,10/02/2018 0:45,61,1,0,2,9/02/2018 17:21,7.386111111,0,2018-02-10 00:44:00,2018-02-10 00:43:00,2018-02-10 00:45:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:44,21.0,pick_bat,10/02/2018 0:43,10/02/2018 0:45,65,1,1,2,9/02/2018 17:21,7.387222222,0,2018-02-10 00:44:00,2018-02-10 00:43:00,2018-02-10 00:45:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:44,4.0,pick,10/02/2018 0:43,10/02/2018 0:45,68,0,1,2,9/02/2018 17:21,7.388055556,0,2018-02-10 00:44:00,2018-02-10 00:43:00,2018-02-10 00:45:00,2018-02-09 17:21:00,1-5min
10/02/2018 0:44,2.0,pick,10/02/2018 0:43,10/02/2018 0:45,80,0,1,2,9/02/2018 17:21,7.391388889,0,2018-02-10 00:44:00,2018-02-10 00:43:00,2018-02-10 00:45:00,2018-02-09 17:21:00,1-5min
